OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_61,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,unidentified,Lasiosphaeriaceae sp
OTU_62,Fungi,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,Sordariales sp
OTU_63,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella tricincta
OTU_65,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_66,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Parasola,Parasola sp
OTU_67,Fungi,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,Myxocephala,Myxocephala albida
OTU_69,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma sp
OTU_70,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma spirale
OTU_71,Fungi,Ascomycota,Sordariomycetes,Incertae sedis,Glomerellaceae,Colletotrichum,Colletotrichum anthrisci
OTU_72,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,unidentified,Lasiosphaeriaceae sp
OTU_75,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales sp
OTU_76,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,Cyathus stercoreus
OTU_77,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
OTU_78,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_79,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_80,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces starkeyi
OTU_81,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia flanaganii
OTU_82,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales sp
OTU_83,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_84,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus sp
OTU_85,Fungi,Ascomycota,Sordariomycetes,Xylariales,Incertae sedis,Microdochium,Microdochium bolleyi
OTU_86,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_87,Fungi,Ascomycota,Eurotiomycetes,Onygenales,unidentified,unidentified,Onygenales sp
OTU_88,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Mycoleptodiscus,Mycoleptodiscus terrestris
OTU_90,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,unidentified,unidentified,Coniochaetales sp
OTU_91,Fungi,Ascomycota,Sordariomycetes,Incertae sedis,Plectosphaerellaceae,Lectera,Lectera longa
OTU_92,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella zeae
OTU_93,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales sp
OTU_94,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,unidentified,Phaeosphaeriaceae sp
OTU_95,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_96,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae sedis,Stachybotrys,Stachybotrys microspora
OTU_97,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,unidentified,Chaetomiaceae sp
OTU_98,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,Helotiales sp
OTU_99,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,Trematosphaeria,Trematosphaeria hydrela
OTU_100,Fungi,Zygomycota,Incertae sedis,Mortierellales,Mortierellaceae,Mortierella,Mortierella capitata
OTU_101,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Myxotrichaceae,Pseudogymnoascus,Pseudogymnoascus roseus
OTU_102,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,unidentified,Lasiosphaeriaceae sp
OTU_103,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,unidentified,Bionectriaceae sp
OTU_104,Fungi,Zygomycota,Incertae sedis,Mortierellales,Mortierellaceae,Mortierella,Mortierella amoeboidea
OTU_105,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales sp
OTU_106,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales sp
OTU_107,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae sedis,Acremonium,Acremonium persicinum
OTU_108,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_109,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,Helotiales sp
OTU_110,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudaleuria,Pseudaleuria sp
OTU_111,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,Sistotrema sp
OTU_113,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
OTU_114,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium kurunegalense
OTU_115,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,Dothideomycetes sp
OTU_116,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes sp
OTU_117,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_118,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_119,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,unidentified,Nectriaceae sp
OTU_120,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,Helotiales sp
OTU_121,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis leptospora
OTU_122,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Incertae sedis,Minimedusa,Minimedusa polyspora
OTU_123,Fungi,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,Sordariales sp
OTU_125,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae sedis,Acremonium,Acremonium polychromum
OTU_126,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae sedis,Stachybotrys,Stachybotrys elegans
OTU_127,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,Helotiales sp
OTU_128,Fungi,Ascomycota,Sordariomycetes,Xylariales,Incertae sedis,unidentified,Incertae sedis sp
OTU_129,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta sp
OTU_130,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_131,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Mrakia,Mrakia frigida
OTU_132,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus niger
OTU_134,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales sp
OTU_135,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae sedis,Cryptococcus,Cryptococcus terricola
OTU_136,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,unidentified,Lasiosphaeriaceae sp
OTU_137,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
OTU_138,Fungi,Zygomycota,Incertae sedis,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans
OTU_139,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,Helotiales sp
OTU_140,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia sp
OTU_141,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Helicoma,Helicoma sp
OTU_142,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,unidentified,Hypocreaceae sp
OTU_143,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,Ophiosphaerella korrae
OTU_144,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_145,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,Chloridium sp
OTU_146,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes sp
OTU_147,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae sedis,Ilyonectria,Ilyonectria macrodidyma
OTU_149,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes sp
OTU_150,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae sedis,Rhodotorula,Rhodotorula vanillica
OTU_151,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,unidentified,Geastraceae sp
OTU_152,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_153,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae sedis,Pyrenopeziza,Pyrenopeziza revincta
OTU_155,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus marculentus
OTU_156,Fungi,Zygomycota,Incertae sedis,Mucorales,Incertae sedis,Siepmannia,Siepmannia pineti
OTU_157,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stephanosporaceae,unidentified,Stephanosporaceae sp
OTU_159,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Cyphellophora,Cyphellophora laciniata
OTU_160,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae sedis,unidentified,Incertae sedis sp
OTU_161,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
