OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_66,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,
OTU_67,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
OTU_68,Bacteria,Acidobacteria,iii1-8,32-20,,,
OTU_69,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,
OTU_70,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU_71,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_72,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
OTU_73,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,,
OTU_74,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,
OTU_75,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_76,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_77,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,
OTU_78,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU_79,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,,,
OTU_80,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_81,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
OTU_82,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,
OTU_83,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU_84,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,
OTU_85,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,,
OTU_86,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,,,
OTU_87,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,
OTU_88,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
OTU_89,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
OTU_90,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU_91,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
OTU_92,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU_93,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU_94,Bacteria,Acidobacteria,iii1-8,DS-18,,,
OTU_95,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU_96,Bacteria,Proteobacteria,Betaproteobacteria,A21b,EB1003,,
OTU_97,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
OTU_98,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,
OTU_99,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
OTU_100,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,,
OTU_101,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
OTU_102,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_103,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_104,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU_105,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Ellin5301,,
OTU_106,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
OTU_107,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
OTU_108,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_109,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
OTU_110,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
OTU_111,Bacteria,Chloroflexi,Anaerolineae,H39,,,
OTU_112,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,succinicans
OTU_113,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,,
OTU_114,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,,
OTU_115,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,
OTU_116,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,
OTU_117,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU_118,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU_119,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU_120,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,,,
OTU_121,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
OTU_122,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU_123,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_124,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,
OTU_125,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,
OTU_126,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU_127,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,
OTU_128,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_129,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,xylanilytica
OTU_130,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,,,
OTU_131,Bacteria,Proteobacteria,Betaproteobacteria,A21b,UD5,,
